,comments,duration,languages,published_date,speaker_occupation,title,views,Positive,Negative,Moderate,related_views,event_class,Humanity/Progress_tag,arts/creativity_tag,philanthropy/religion_tag,music_tag,Global issues_tag,Scientific Fields_tag,media/entertainment_tag,Organizing/Perceiving Information_tag,Middle East_tag,Epidemics_tag,Outer-Space_tag,Vices/Prejudices_tag,exploration_tag,robots/prosthetics_tag,animals/organisms_tag
0,4553,1164,60,1151367060,Author/educator,Do schools kill creativity?,47227110,91538,1138,1174,3027062,Yearly TED Conference,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,265,977,43,1151367060,Climate advocate,Averting the climate crisis,3200520,2169,564,203,1118767,Yearly TED Conference,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2,124,1286,26,1151367060,Technology columnist,Simplicity sells,1636292,2327,351,146,1846195,Yearly TED Conference,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
3,200,1116,35,1151367060,Activist for environmental justice,Greening the ghetto,1697550,3487,156,85,776189,Yearly TED Conference,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,593,1190,48,1151440680,Global health expert; data visionary,The best stats you've ever seen,12005869,25062,310,248,1907337,Yearly TED Conference,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
5,672,1305,36,1151440680,Life coach; expert in leadership psychology,Why we do what we do,20685401,13617,1298,441,8376548,Yearly TED Conference,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
6,919,992,31,1152490260,"Actor, comedian, playwright",Letting go of God,3769987,4910,780,308,2756619,Yearly TED Conference,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,46,1198,19,1152490260,Architect,Behind the design of Seattle's library,967741,879,82,63,1160553,Yearly TED Conference,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,852,1485,32,1153181460,"Philosopher, cognitive scientist",Let's teach religion -- all religion -- in schools,2567958,3179,613,154,2468715,Yearly TED Conference,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,900,1262,31,1153181460,"Pastor, author",A life of purpose,3095993,6456,1626,245,2027453,Yearly TED Conference,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,79,1414,27,1153786260,"Co-founder, Architecture for Humanity",My wish: A call for open-source architecture,1211416,1665,76,39,1412644,Yearly TED Conference,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11,55,1538,20,1153786260,Filmmaker,My wish: A global day of film,387877,528,38,26,810417,Yearly TED Conference,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
12,71,1550,24,1153786260,"Epidemiologist, philanthropist",My wish: Help me stop pandemics,693341,854,21,11,592896,Yearly TED Conference,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
